//M->Dの座標変換
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.894,153.354,714.666
-152.346,149.086,617.14
-48.6251,162.629,811.891
-47.5949,158.534,714.297
-46.7192,154.445,616.888
50.8506,160.685,811.683
52.128,156.705,715.02
53.0949,152.547,618
-149.355,54.2311,816.821
-148.469,50.0353,718.926
-148.019,45.6058,621.609
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
51.5963,59.7396,816.06
52.7451,55.3332,719.107
53.7502,51.0996,622.172
-149.616,-43.9504,821.406
-148.71,-48.4174,723.831
-148.258,-52.8556,626.081
-48.7231,-42.5168,822.365
-47.7556,-47.0425,724.639
-46.9799,-51.2792,626.536
52.1666,-41.606,821.38
53.3075,-46.2948,724.511
54.5887,-50.6262,627.292
//Dのうち使った点
x,y,z
77,53,-12
77,155,-12
78,259,-12
180,52,-12
182,153,-12
183,257,-12
280,51,-12
281,152,-12
283,256,-12
80,45,-112
81,150,-112
81,254,-112
179,45,-112
180,148,-112
182,252,-112
279,44,-112
281,146,-112
283,252,-112
79,39,-212
79,144,-212
81,249,-212
179,38,-212
181,142,-212
182,247,-212
280,37,-212
281,141,-212
283,247,-212
//回転R
0.999904,0.0119355,-0.00702786
-0.00682686,-0.0167988,-0.999836
-0.0120516,0.999788,-0.0167157
//並進q_T
x,y,z
233.34,868.258,-154.599
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-153.72,157.345,812.328,77,53,-12,1.19619,-1.4694,-2.98665,
-153.166,155.337,762.717,77,103,-12,0.317505,-1.10219,-1.80198,
-152.894,153.354,714.666,77,155,-12,-0.268518,2.82313,-0.618912,
-152.602,151.413,666.123,77,206,-12,-0.879038,5.25816,0.513174,
-152.346,149.086,617.14,78,259,-12,-0.45068,9.24587,2.02435,
-101.533,160.974,810.592,128,52,-12,-0.0419465,-3.78787,-6.0154,
-101.344,159.272,763.149,128,102,-12,-0.543185,-1.25028,-5.10418,
-100.733,157.07,713.806,129,154,-12,-0.474974,1.38216,-3.71997,
-100.367,155.34,665.536,130,205,-12,-0.159696,4.09329,-2.79332,
-100.049,153.26,617.258,130,258,-12,-0.791694,8.79039,-1.51671,
-48.6251,162.629,811.891,180,52,-12,-0.954936,-2.10008,-7.01012,
-48.201,160.788,763.389,181,101,-12,-0.697945,-1.62202,-5.97536,
-47.5949,158.534,714.297,182,153,-12,-0.622053,1.26049,-4.53482,
-47.2228,156.516,665.838,183,204,-12,-0.310619,3.77801,-3.32311,
-46.7192,154.445,616.888,183,257,-12,-1.13341,7.80493,-2.06465,
0.563992,164.067,810.806,229,50,-12,-1.16411,-4.82522,-7.87316,
1.12483,162.094,762.82,230,100,-12,-1.03859,-2.83199,-6.6966,
1.58407,160.089,713.904,230,151,-12,-1.81763,-0.771283,-5.50329,
2.05467,158.062,665.349,232,204,-12,-0.605226,3.6517,-4.28275,
2.54238,156.049,617.158,233,256,-12,-0.407541,7.43748,-3.06994,
50.8506,160.685,811.683,280,51,-12,-0.399344,-2.66142,-3.87104,
