//M->Dの座標変換
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
//Dのうち使った点
x,y,z
182,153,-12
180,148,-112
182,252,-112
281,146,-112
//回転R
0.999356,0.00696736,-0.0352123
-0.0348934,-0.0415559,-0.998527
-0.00842038,0.999112,-0.041286
//並進q_T
x,y,z
252.873,869.88,-137.921
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-153.72,157.345,812.328,77,53,-12,5.25588,-4.5742,0.959471,
-153.166,155.337,762.717,77,103,-12,2.96928,-4.17621,0.921813,
-152.894,153.354,714.666,77,155,-12,1.01925,-0.22947,0.92192,
-152.602,151.413,666.123,77,206,-12,-0.968884,2.22928,0.858932,
-152.346,149.086,617.14,78,259,-12,-1.93251,6.23064,1.16408,
-101.533,160.974,810.592,128,52,-12,4.01548,-5.33582,-2.29899,
-101.344,159.272,763.149,128,102,-12,2.16874,-2.773,-2.55529,
-100.733,157.07,713.806,129,154,-12,0.835643,-0.113334,-2.38715,
-100.367,155.34,665.536,130,205,-12,-0.217941,2.62843,-2.64902,
-100.049,153.26,617.258,130,258,-12,-2.22079,7.34614,-2.56117,
-48.6251,162.629,811.891,180,52,-12,3.17634,-2.12384,-3.45279,
-48.201,160.788,763.389,181,101,-12,2.05742,-1.61597,-3.61252,
-47.5949,158.534,714.297,182,153,-12,0.738822,1.29199,-3.38191,
-47.2228,156.516,665.838,183,204,-12,-0.325356,3.83344,-3.36357,
-46.7192,154.445,616.888,183,257,-12,-2.53778,7.88729,-3.31105,
0.563992,164.067,810.806,229,50,-12,2.9707,-3.4314,-4.52014,
1.12483,162.094,762.82,230,100,-12,1.7343,-1.40845,-4.52596,
1.58407,160.089,713.904,230,151,-12,-0.433151,0.679515,-4.53757,
2.05467,158.062,665.349,232,204,-12,-0.59903,5.12907,-4.51311,
2.54238,156.049,617.158,233,256,-12,-1.76933,8.94179,-4.48751,
50.8506,160.685,811.683,280,51,-12,3.77098,0.0588897,-0.68135,
51.4628,158.836,763.986,280,100,-12,1.49252,1.37639,-0.798854,
52.128,156.705,715.02,281,152,-12,0.118406,4.41776,-0.685302,
52.622,154.691,666.464,282,204,-12,-1.071,7.86631,-0.67351,
53.0949,152.547,618,283,256,-12,-2.23523,11.4013,-0.528403,
-150.321,108.954,813.429,80,49,-62,5.23527,-9.36669,-0.618812,
-150.312,107.063,766.154,80,100,-62,3.5747,-5.6503,-0.680768,
-149.785,104.939,716.887,80,151,-62,1.32797,-3.91522,-0.588421,
-149.38,102.73,667.76,80,203,-62,-0.792025,-1.04724,-0.40615,
-148.938,100.427,618.882,81,256,-62,-1.93859,3.06624,-0.119339,
-100.737,108.74,814.328,128,49,-62,3.71543,-6.74849,0.0498511,
-100.349,106.606,765.438,129,99,-62,2.62174,-5.6416,0.166779,
