//M->Dの座標変換
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-148.469,50.0353,718.926
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
-47.7556,-47.0425,724.639
//Dのうち使った点
x,y,z
182,153,-12
81,150,-112
179,45,-112
180,148,-112
182,252,-112
281,146,-112
181,142,-212
//回転R
0.999818,0.014565,-0.0123325
-0.0120334,-0.0204442,-0.999719
-0.014813,0.999685,-0.0202652
//並進q_T
x,y,z
237.036,867.597,-152.325
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-153.72,157.345,812.328,77,53,-12,1.38265,-1.13018,-2.78582,
-153.166,155.337,762.717,77,103,-12,0.246133,-0.761605,-1.77592,
-152.894,153.354,714.666,77,155,-12,-0.589543,3.16352,-0.762859,
-152.602,151.413,666.123,77,206,-12,-1.45243,5.59869,0.197536,
-152.346,149.086,617.14,78,259,-12,-1.27777,9.58497,1.53532,
-101.533,160.974,810.592,128,52,-12,0.130266,-3.1635,-5.67625,
-101.344,159.272,763.149,128,102,-12,-0.618145,-0.625592,-4.93307,
-100.733,157.07,713.806,129,154,-12,-0.805834,2.00778,-3.72254,
-100.367,155.34,665.536,130,205,-12,-0.742031,4.72016,-2.96639,
-100.049,153.26,617.258,130,258,-12,-1.62463,9.41698,-1.86048,
-48.6251,162.629,811.891,180,52,-12,-0.775622,-1.19437,-6.52008,
-48.201,160.788,763.389,181,101,-12,-0.771036,-0.71514,-5.65649,
-47.5949,158.534,714.297,182,153,-12,-0.949577,2.16805,-4.38877,
-47.2228,156.516,665.838,183,204,-12,-0.889861,4.68583,-3.34824,
-46.7192,154.445,616.888,183,257,-12,-1.96682,8.71355,-2.26235,
0.563992,164.067,810.806,229,50,-12,-0.990097,-3.65804,-7.25099,
1.12483,162.094,762.82,230,100,-12,-1.11388,-1.66347,-6.2434,
1.58407,160.089,713.904,230,151,-12,-2.14709,0.398049,-5.22266,
2.05467,158.062,665.349,232,204,-12,-1.18688,4.82177,-4.17337,
2.54238,156.049,617.158,233,256,-12,-1.23949,8.60839,-3.13048,
50.8506,160.685,811.683,280,51,-12,-0.207445,-1.24485,-3.10724,
51.4628,158.836,763.986,280,100,-12,-1.38084,0.040828,-2.21714,
52.128,156.705,715.02,281,152,-12,-1.61875,3.05362,-1.06882,
52.622,154.691,666.464,282,204,-12,-1.68211,6.47553,-0.0320123,
53.0949,152.547,618,283,256,-12,-1.72143,9.98719,1.1361,
-150.321,108.954,813.429,80,49,-62,1.70292,-4.97744,-4.3378,
-150.312,107.063,766.154,80,100,-62,1.13836,-1.27768,-3.40485,
-149.785,104.939,716.887,80,151,-62,0.0347592,0.431475,-2.27227,
-149.38,102.73,667.76,80,203,-62,-0.944628,3.27826,-1.05345,
-148.938,100.427,618.882,81,256,-62,-0.955569,7.37201,0.264963,
-100.737,108.74,814.328,128,49,-62,0.141229,-3.48716,-3.37091,
-100.349,106.606,765.438,129,99,-62,0.182176,-2.40234,-2.22258,
-99.8089,104.364,716.505,129,151,-62,-0.928854,0.638952,-0.964971,
-99.505,102.306,667.895,130,203,-62,-0.802238,4.00429,0.111677,
-99.1621,100.03,619.156,130,255,-62,-1.71296,7.23696,1.40482,
-49.8161,111.448,814.669,179,48,-62,0.194826,-3.47808,-5.31714,
-49.36,109.461,765.261,180,98,-62,0.158457,-2.90713,-4.32505,
-48.9077,107.438,716.836,180,150,-62,-0.861534,0.645523,-3.2773,
-48.4506,105.241,667.817,181,202,-62,-0.891063,3.60139,-2.06765,
-48.0377,103.02,619.484,182,254,-62,-0.867566,7.24127,-0.820395,
6.62235,107.877,813.539,235,47,-62,-0.195235,-5.00126,-0.933897,
7.26551,106.036,765.103,236,98,-62,-0.408794,-2.4533,-0.0652226,
