//M->Dの座標変換
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.346,149.086,617.14
50.8506,160.685,811.683
53.0949,152.547,618
-48.4436,54.0655,719.274
-149.616,-43.9504,821.406
-148.258,-52.8556,626.081
52.1666,-41.606,821.38
54.5887,-50.6262,627.292
//Dのうち使った点
x,y,z
77,53,-12
78,259,-12
280,51,-12
283,256,-12
180,148,-112
79,39,-212
81,249,-212
280,37,-212
283,247,-212
//回転R
0.999931,0.0103598,-0.00559529
-0.00543253,-0.0156725,-0.999862
-0.010446,0.999824,-0.0156151
//並進q_T
x,y,z
232.651,868.654,-155.124
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-153.72,157.345,812.328,77,53,-12,0.973711,-1.80739,-3.11424,
-153.166,155.337,762.717,77,103,-12,0.162924,-1.44003,-1.87579,
-152.894,153.354,714.666,77,155,-12,-0.357395,2.48585,-0.640207,
-152.602,151.413,666.123,77,206,-12,-0.90144,4.92137,0.544903,
-152.346,149.086,617.14,78,259,-12,-0.406584,8.91002,2.10966,
-101.533,160.974,810.592,128,52,-12,-0.257603,-4.20276,-6.22501,
-101.344,159.272,763.149,128,102,-12,-0.693564,-1.6648,-5.26181,
-100.733,157.07,713.806,129,154,-12,-0.558152,0.967948,-3.8242,
-100.367,155.34,665.536,130,205,-12,-0.176458,3.67922,-2.84495,
-100.049,153.26,617.258,130,258,-12,-0.74258,8.37693,-1.51564,
-48.6251,162.629,811.891,180,52,-12,-1.17125,-2.59057,-7.30616,
-48.201,160.788,763.389,181,101,-12,-0.847693,-2.11234,-6.21864,
-47.5949,158.534,714.297,182,153,-12,-0.705042,0.770548,-4.72496,
-47.2228,156.516,665.838,183,204,-12,-0.327376,3.28853,-3.46044,
-46.7192,154.445,616.888,183,257,-12,-1.08332,7.31576,-2.14885,
0.563992,164.067,810.806,229,50,-12,-1.37792,-5.38595,-8.24704,
1.12483,162.094,762.82,230,100,-12,-1.18678,-3.39257,-7.01849,
1.58407,160.089,713.904,230,151,-12,-1.89891,-1.33156,-5.77201,
2.05467,158.062,665.349,232,204,-12,-0.620158,3.09175,-4.49872,
2.54238,156.049,617.158,233,256,-12,-0.35662,6.87782,-3.23358,
50.8506,160.685,811.683,280,51,-12,-0.621076,-3.28843,-4.3265,
51.4628,158.836,763.986,280,100,-12,-1.48096,-2.00484,-3.21701,
52.128,156.705,715.02,281,152,-12,-1.39802,1.00669,-1.84361,
52.622,154.691,666.464,282,204,-12,-1.14278,4.42797,-0.582898,
53.0949,152.547,618,283,256,-12,-0.864655,7.93976,0.808802,
-150.321,108.954,813.429,80,49,-62,1.08268,-5.44603,-4.67948,
-150.312,107.063,766.154,80,100,-62,0.828667,-1.74409,-3.52648,
-149.785,104.939,716.887,80,151,-62,0.0479967,-0.0353747,-2.16681,
-149.38,102.73,667.76,80,203,-62,-0.609751,2.81221,-0.72102,
-148.938,100.427,618.882,81,256,-62,-0.301127,6.90699,0.823072,
-100.737,108.74,814.328,128,49,-62,-0.491558,-4.28189,-3.93328,
-100.349,106.606,765.438,129,99,-62,-0.130249,-3.19649,-2.559,
-99.8089,104.364,716.505,129,151,-62,-0.921097,-0.155097,-1.0759,
-99.505,102.306,667.895,130,203,-62,-0.475676,3.21106,0.225741,
-99.1621,100.03,619.156,130,255,-62,-1.06765,6.44532,1.74434,
-49.8161,111.448,814.669,179,48,-62,-0.434614,-4.62181,-6.10384,
-49.36,109.461,765.261,180,98,-62,-0.146522,-4.0515,-4.88372,
-48.9077,107.438,716.836,180,150,-62,-0.848824,-0.49914,-3.61249,
-48.4506,105.241,667.817,181,202,-62,-0.557398,2.45714,-2.17659,
-48.0377,103.02,619.484,182,254,-62,-0.217659,6.09794,-0.706079,
6.62235,107.877,813.539,235,47,-62,-0.838449,-6.50066,-1.96132,
7.26551,106.036,765.103,236,98,-62,-0.733504,-3.95512,-0.869968,
7.64427,103.711,716.764,236,150,-62,-1.35863,-0.322484,0.703973,
8.11906,101.461,668.12,237,203,-62,-1.08226,4.00777,2.19832,
8.59384,99.6417,619.819,239,255,-62,0.191587,7.68758,3.26829,
51.3309,110.92,814.045,279,47,-62,-1.57259,-5.70373,-4.5284,
51.6962,109.016,765.47,280,97,-62,-1.18993,-4.30016,-3.38013,
