//R->Mの座標変換
//Rのうち使った点
x,y,z
0,0,0
0,0,50
0,0,100
0,0,150
0,0,200
50,0,0
50,0,50
50,0,100
50,0,150
50,0,200
100,0,0
100,0,50
100,0,100
100,0,150
100,0,200
150,0,0
150,0,50
150,0,100
150,0,150
150,0,200
200,0,0
200,0,50
200,0,100
200,0,150
200,0,200
0,50,0
0,50,50
0,50,100
0,50,150
0,50,200
50,50,0
50,50,50
50,50,100
50,50,150
50,50,200
100,50,0
100,50,50
100,50,100
100,50,150
100,50,200
150,50,0
150,50,50
150,50,100
150,50,150
150,50,200
200,50,0
200,50,50
200,50,100
200,50,150
200,50,200
0,100,0
0,100,50
0,100,100
0,100,150
0,100,200
50,100,0
50,100,50
50,100,100
50,100,150
50,100,200
100,100,0
100,100,50
100,100,100
100,100,150
100,100,200
150,100,0
150,100,50
150,100,100
150,100,150
150,100,200
200,100,0
200,100,50
200,100,100
200,100,150
200,100,200
0,150,0
0,150,50
0,150,100
0,150,150
0,150,200
50,150,0
50,150,50
50,150,100
50,150,150
50,150,200
100,150,0
100,150,50
100,150,100
100,150,150
100,150,200
150,150,0
150,150,50
150,150,100
150,150,150
150,150,200
200,150,0
200,150,50
200,150,100
200,150,150
200,150,200
0,200,0
0,200,50
0,200,100
0,200,150
0,200,200
50,200,0
50,200,50
50,200,100
50,200,150
50,200,200
100,200,0
100,200,50
100,200,100
100,200,150
100,200,200
150,200,0
150,200,50
150,200,100
150,200,150
150,200,200
200,200,0
200,200,50
200,200,100
200,200,150
200,200,200
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-153.166,155.337,762.717
-152.894,153.354,714.666
-152.602,151.413,666.123
-152.346,149.086,617.14
-101.533,160.974,810.592
-101.344,159.272,763.149
-100.733,157.07,713.806
-100.367,155.34,665.536
-100.049,153.26,617.258
-48.6251,162.629,811.891
-48.201,160.788,763.389
-47.5949,158.534,714.297
-47.2228,156.516,665.838
-46.7192,154.445,616.888
0.563992,164.067,810.806
1.12483,162.094,762.82
1.58407,160.089,713.904
2.05467,158.062,665.349
2.54238,156.049,617.158
50.8506,160.685,811.683
51.4628,158.836,763.986
52.128,156.705,715.02
52.622,154.691,666.464
53.0949,152.547,618
-150.321,108.954,813.429
-150.312,107.063,766.154
-149.785,104.939,716.887
-149.38,102.73,667.76
-148.938,100.427,618.882
-100.737,108.74,814.328
-100.349,106.606,765.438
-99.8089,104.364,716.505
-99.505,102.306,667.895
-99.1621,100.03,619.156
-49.8161,111.448,814.669
-49.36,109.461,765.261
-48.9077,107.438,716.836
-48.4506,105.241,667.817
-48.0377,103.02,619.484
6.62235,107.877,813.539
7.26551,106.036,765.103
7.64427,103.711,716.764
8.11906,101.461,668.12
8.59384,99.6417,619.819
51.3309,110.92,814.045
51.6962,109.016,765.47
52.3803,106.74,717.112
53.1341,104.649,669.012
53.5004,102.571,620.292
-149.355,54.2311,816.821
-148.867,52.1428,768.206
-148.469,50.0353,718.926
-148.293,47.8079,670.751
-148.019,45.6058,621.609
-99.0698,58.5602,816.231
-98.8512,56.3871,767.951
-98.3778,53.7692,719.257
-97.935,51.5879,670.094
-97.6885,49.5721,621.718
-49.4563,58.692,816.741
-49.0237,56.6912,768.397
-48.4436,54.0655,719.274
-48.2428,51.8258,670.671
-47.7714,49.8195,621.904
0.816683,59.2539,815.642
1.10318,56.9293,767.82
1.6886,54.5019,718.881
2.12746,52.423,670.701
2.55507,50.2675,621.91
51.5963,59.7396,816.06
52.2285,57.66,767.377
52.7451,55.3332,719.107
53.0487,53.1518,670.721
53.7502,51.0996,622.172
-149.673,6.69984,819.052
-149.292,4.2982,769.859
-148.825,2.05458,720.664
-148.761,-0.0820624,672.71
-148.485,-2.38943,623.886
-98.9012,7.46289,818.635
-98.4611,5.25967,770.066
-98.031,3.08233,721.509
-97.607,0.8384,672.728
-97.3386,-1.57105,624.336
-48.7796,8.2412,819.469
-48.4717,5.79777,770.652
-47.9215,3.45001,721.762
-47.4497,1.19386,673.251
-47.1667,-0.280372,624.152
1.33816,8.20392,818.714
1.91478,5.97352,769.905
2.41989,3.64109,721.185
2.80829,1.48603,673.123
3.38812,-0.75445,624.904
52.1018,8.95934,818.493
52.5516,6.53525,770.207
53.1901,4.35373,721.781
53.7,2.10824,673.742
54.1499,0.137917,625.091
-149.616,-43.9504,821.406
-149.324,-46.2269,772.513
-148.71,-48.4174,723.831
-148.366,-50.8737,675.445
-148.258,-52.8556,626.081
-98.4882,-40.3695,821.046
-98.3344,-42.6414,772.445
-97.6156,-44.7169,723.607
-97.536,-47.1751,674.867
-96.8472,-49.3941,626.461
-48.7231,-42.5168,822.365
-48.1281,-44.919,773.063
-47.7556,-47.0425,724.639
-47.3515,-49.3732,675.898
-46.9799,-51.2792,626.536
1.59758,-42.079,821.407
2.00424,-44.2921,771.808
2.54166,-46.9232,724.235
2.99707,-49.2685,675.7
1.88833,-47.3019,626.493
52.1666,-41.606,821.38
52.796,-43.909,772.654
53.3075,-46.2948,724.511
53.4827,-48.6187,676.068
54.5887,-50.6262,627.292
//回転R
0.999937,0.00977857,0.00544289
0.0100169,-0.998908,-0.0456247
0.0049908,0.0456764,-0.998944
//並進q_T
x,y,z
-149.757,158.074,814.037
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
