//R->Mの座標変換
//Rのうち使った点
x,y,z
0,0,0
0,0,100
0,0,200
100,0,0
100,0,100
100,0,200
200,0,0
200,0,100
200,0,200
0,100,0
0,100,100
0,100,200
100,100,0
100,100,100
100,100,200
200,100,0
200,100,100
200,100,200
0,200,0
0,200,100
0,200,200
100,200,0
100,200,100
100,200,200
200,200,0
200,200,100
200,200,200
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.894,153.354,714.666
-152.346,149.086,617.14
-48.6251,162.629,811.891
-47.5949,158.534,714.297
-46.7192,154.445,616.888
50.8506,160.685,811.683
52.128,156.705,715.02
53.0949,152.547,618
-149.355,54.2311,816.821
-148.469,50.0353,718.926
-148.019,45.6058,621.609
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
51.5963,59.7396,816.06
52.7451,55.3332,719.107
53.7502,51.0996,622.172
-149.616,-43.9504,821.406
-148.71,-48.4174,723.831
-148.258,-52.8556,626.081
-48.7231,-42.5168,822.365
-47.7556,-47.0425,724.639
-46.9799,-51.2792,626.536
52.1666,-41.606,821.38
53.3075,-46.2948,724.511
54.5887,-50.6262,627.292
//回転R
0.999895,0.0133585,0.00563645
0.0136018,-0.998868,-0.0455923
0.00502102,0.0456642,-0.998944
//並進q_T
x,y,z
-150.379,157.136,814.18
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,0,0,-153.72,157.345,812.328,-3.3412,0.208703,-1.8524,
0,0,50,-153.166,155.337,762.717,-3.06899,0.480619,-1.51619,
0,0,100,-152.894,153.354,714.666,-3.07879,0.776819,0.379899,
0,0,150,-152.602,151.413,666.123,-3.06805,1.11604,1.78477,
0,0,200,-152.346,149.086,617.14,-3.09467,1.06828,2.74898,
50,0,0,-101.533,160.974,810.592,-1.14833,3.15806,-3.83945,
50,0,50,-101.344,159.272,763.149,-1.242,3.73532,-1.33514,
50,0,100,-100.733,157.07,713.806,-0.912465,3.81283,-0.730783,
50,0,150,-100.367,155.34,665.536,-0.828124,4.36297,0.946173,
50,0,200,-100.049,153.26,617.258,-0.792381,4.56236,2.61533,
100,0,0,-48.6251,162.629,811.891,1.76437,4.13238,-2.79148,
100,0,50,-48.201,160.788,763.389,1.90671,4.57121,-1.34616,
100,0,100,-47.5949,158.534,714.297,2.23095,4.59651,-0.490782,
100,0,150,-47.2228,156.516,665.838,2.32125,4.85844,0.997342,
100,0,200,-46.7192,154.445,616.888,2.54297,5.067,1.99478,
150,0,0,0.563992,164.067,810.806,0.958736,4.8903,-4.12782,
150,0,50,1.12483,162.094,762.82,1.23775,5.19758,-2.16597,
150,0,100,1.58407,160.089,713.904,1.41517,5.47132,-1.13553,
150,0,150,2.05467,158.062,665.349,1.60395,5.72402,0.25752,
150,0,200,2.54238,156.049,617.158,1.80983,5.99072,2.01307,
200,0,0,50.8506,160.685,811.683,1.25058,0.828071,-3.50141,
200,0,50,51.4628,158.836,763.986,1.58095,1.25947,-1.25153,
200,0,100,52.128,156.705,715.02,1.96435,1.40766,-0.269729,
200,0,150,52.622,154.691,666.464,2.17649,1.67315,1.12096,
200,0,200,53.0949,152.547,618,2.36762,1.80886,2.60433,
0,50,0,-150.321,108.954,813.429,-0.610382,1.76148,-3.03415,
0,50,50,-150.312,107.063,766.154,-0.883115,2.14965,-0.361918,
0,50,100,-149.785,104.939,716.887,-0.637895,2.30541,0.317658,
0,50,150,-149.38,102.73,667.76,-0.513935,2.37596,1.13811,
0,50,200,-148.938,100.427,618.882,-0.353979,2.35246,2.20708,
50,50,0,-100.737,108.74,814.328,-1.02021,0.867144,-2.38696,
50,50,50,-100.349,106.606,765.438,-0.914759,1.01273,-1.32973,
50,50,100,-99.8089,104.364,716.505,-0.656265,1.0504,-0.315656,
50,50,150,-99.505,102.306,667.895,-0.634154,1.27213,1.02162,
50,50,200,-99.1621,100.03,619.156,-0.573097,1.27527,2.23021,
100,50,0,-49.8161,111.448,814.669,-0.0945159,2.89533,-2.29695,
100,50,50,-49.36,109.461,765.261,0.0797376,3.18773,-1.75756,
100,50,100,-48.9077,107.438,716.836,0.250254,3.44432,-0.235404,
100,50,150,-48.4506,105.241,667.817,0.425525,3.527,0.693289,
100,50,200,-48.0377,103.02,619.484,0.556566,3.58529,2.30722,
150,50,0,6.62235,107.877,813.539,6.34916,-1.35599,-3.67764,
150,50,50,7.26551,106.036,765.103,6.7105,-0.917662,-2.16619,
150,50,100,7.64427,103.711,716.764,6.80744,-0.963271,-0.55861,
150,50,150,8.11906,101.461,668.12,7.00041,-0.933014,0.744838,
150,50,200,8.59384,99.6417,619.819,7.19337,-0.472958,2.39115,
200,50,0,51.3309,110.92,814.045,1.06297,1.00647,-3.42226,
200,50,50,51.6962,109.016,765.47,1.14644,1.38279,-2.05031,
200,50,100,52.3803,106.74,717.112,1.54874,1.38602,-0.461466,
200,50,150,53.1341,104.649,669.012,2.02068,1.57459,1.38603,
200,50,200,53.5004,102.571,620.292,2.10517,1.77663,2.6129,
0,100,0,-149.355,54.2311,816.821,-0.312218,-3.01842,-1.92565,
0,100,50,-148.867,52.1428,768.206,-0.106066,-2.82701,-0.593161,
0,100,100,-148.469,50.0353,718.926,0.0102502,-2.6549,0.073501,
0,100,150,-148.293,47.8079,670.751,-0.0948498,-2.60271,1.84616,
0,100,200,-148.019,45.6058,621.609,-0.103049,-2.52522,2.65152,
50,100,0,-99.0698,58.5602,816.231,-0.0214347,0.63061,-2.76655,
50,100,50,-98.8512,56.3871,767.951,-0.0846571,0.737113,-1.09986,
50,100,100,-98.3778,53.7692,719.257,0.106903,0.398822,0.153748,
50,100,150,-97.935,51.5879,670.094,0.267963,0.497227,0.938221,
50,100,200,-97.6885,49.5721,621.718,0.232594,0.760984,2.50859,
100,100,0,-49.4563,58.692,816.741,-0.402701,0.0823263,-2.50768,
100,100,50,-49.0237,56.6912,768.397,-0.251867,0.361136,-0.904765,
100,100,100,-48.4436,54.0655,719.274,0.0464129,0.0150443,-0.0807381,
100,100,150,-48.2428,51.8258,670.671,-0.0346814,0.055001,1.26386,
100,100,200,-47.7714,49.8195,621.904,0.154964,0.328293,2.44393,
150,100,0,0.816683,59.2539,815.642,-0.124426,-0.0358028,-3.85775,
150,100,50,1.10318,56.9293,767.82,-0.119753,-0.0807856,-1.73255,
150,100,100,1.6886,54.5019,718.881,0.183844,-0.228572,-0.724063,
150,100,150,2.12746,52.423,670.701,0.340888,-0.027903,1.04266,
150,100,200,2.55507,50.2675,621.91,0.486674,0.0962254,2.19852,
200,100,0,51.5963,59.7396,816.06,0.660402,-0.230202,-3.69058,
200,100,50,52.2285,57.66,767.377,1.01085,-0.0302452,-2.42696,
200,100,100,52.7451,55.3332,719.107,1.24562,-0.0773862,-0.750008,
200,100,150,53.0487,53.1518,670.721,1.26741,0.0208073,0.811899,
200,100,200,53.7502,51.0996,622.172,1.68708,0.248258,2.20971,
0,150,0,-149.673,6.69984,819.052,-1.29764,-0.606263,-1.97762,
0,150,50,-149.292,4.2982,769.859,-1.19815,-0.728285,-1.22352,
0,150,100,-148.825,2.05458,720.664,-1.01317,-0.692292,-0.471381,
0,150,150,-148.761,-0.0820624,672.71,-1.23143,-0.549313,1.52141,
0,150,200,-148.485,-2.38943,623.886,-1.23718,-0.577061,2.64528,
50,150,0,-98.9012,7.46289,818.635,-0.520716,-0.523306,-2.64648,
50,150,50,-98.4611,5.25967,770.066,-0.362424,-0.44691,-1.2678,
50,150,100,-98.031,3.08233,721.509,-0.214186,-0.344623,0.122351,
50,150,150,-97.607,0.8384,672.728,-0.0720412,-0.308941,1.28858,
50,150,200,-97.3386,-1.57105,624.336,-0.0854772,-0.438772,2.84401,
100,150,0,-48.7796,8.2412,819.469,-0.393895,-0.425082,-2.06335,
100,150,50,-48.4717,5.79777,770.652,-0.367813,-0.588898,-0.933066,
100,150,100,-47.9215,3.45001,721.762,-0.099453,-0.657041,0.123883,
100,150,150,-47.4497,1.19386,673.251,0.0905194,-0.633575,1.5601,
100,150,200,-47.1667,-0.280372,624.152,0.0916766,0.171814,2.40889,
150,150,0,1.33816,8.20392,818.714,-0.270872,-1.14246,-3.06903,
150,150,50,1.91478,5.97352,769.905,0.0239228,-1.09324,-1.93051,
150,150,100,2.41989,3.64109,721.185,0.247212,-1.14605,-0.703531,
150,150,150,2.80829,1.48603,673.123,0.353792,-1.02149,1.18179,
150,150,200,3.38812,-0.75445,624.904,0.651798,-0.982354,2.9094,
200,150,0,52.1018,8.95934,818.493,0.498013,-1.06712,-3.54148,
200,150,50,52.5516,6.53525,770.207,0.666031,-1.21159,-1.87994,
200,150,100,53.1901,4.35373,721.781,1.02266,-1.1135,-0.359224,
200,150,150,53.7,2.10824,673.742,1.25073,-1.07937,1.54954,
200,150,200,54.1499,0.137917,625.091,1.41885,-0.770076,2.84539,
0,200,0,-149.616,-43.9504,821.406,-1.9087,-1.31314,-1.90705,
0,200,50,-149.324,-46.2269,772.513,-1.89885,-1.31004,-0.853056,
0,200,100,-148.71,-48.4174,723.831,-1.56675,-1.22087,0.41256,
0,200,150,-148.366,-50.8737,675.445,-1.50405,-1.39759,1.97301,
0,200,200,-148.258,-52.8556,626.081,-1.67819,-1.09986,2.55696,
50,200,0,-98.4882,-40.3695,821.046,-0.775662,1.58773,-2.51791,
50,200,50,-98.3344,-42.6414,772.445,-0.903733,1.59542,-1.1716,
50,200,100,-97.6156,-44.7169,723.607,-0.466682,1.79954,-0.0629112,
50,200,150,-97.536,-47.1751,674.867,-0.668962,1.62094,1.14422,
50,200,200,-96.8472,-49.3941,626.461,-0.261914,1.68153,2.68547,
100,200,0,-48.7231,-42.5168,822.365,-1.0053,-1.23975,-1.45017,
100,200,50,-48.1281,-44.919,773.063,-0.692103,-1.36229,-0.805358,
100,200,100,-47.7556,-47.0425,724.639,-0.601441,-1.20621,0.718242,
100,200,150,-47.3515,-49.3732,675.898,-0.479187,-1.25728,1.92438,
100,200,200,-46.9799,-51.2792,626.536,-0.389414,-0.883677,2.5097,
150,200,0,1.59758,-42.079,821.407,-0.67938,-1.48196,-2.65923,
150,200,50,2.00424,-44.2921,771.808,-0.554544,-1.41551,-2.31151,
150,200,100,2.54166,-46.9232,724.235,-0.298946,-1.76695,0.0626224,
150,200,150,2.99707,-49.2685,675.7,-0.125355,-1.83269,1.4751,
150,200,200,1.88833,-47.3019,626.493,-1.51592,2.41357,2.21516,
200,200,0,52.1666,-41.606,821.38,-0.105091,-1.68907,-2.93769,
200,200,50,52.796,-43.909,772.654,0.242461,-1.71251,-1.71659,
200,200,100,53.3075,-46.2948,724.511,0.472197,-1.81868,0.0879993,
200,200,150,53.4827,-48.6187,676.068,0.365568,-1.86293,1.59187,
200,200,200,54.5887,-50.6262,627.292,1.18974,-1.59081,2.76326,
//最小化された2乗誤差
11.5792
