//R->Mの座標変換
//Rのうち使った点
x,y,z
100,0,100
100,100,100
100,100,200
200,100,100
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
//回転R
0.999971,-0.0040647,-0.00645127
-0.00445111,-0.998124,-0.0610585
-0.00619099,0.0610854,-0.998113
//並進q_T
x,y,z
-146.651,162.486,814.602
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,0,0,-153.72,157.345,812.328,-7.06889,-5.14105,-2.27405,
0,0,50,-153.166,155.337,762.717,-6.19229,-4.09583,-1.97938,
0,0,100,-152.894,153.354,714.666,-5.5977,-3.02632,-0.124838,
0,0,150,-152.602,151.413,666.123,-4.98258,-1.91379,1.23848,
0,0,200,-152.346,149.086,617.14,-4.40482,-1.18824,2.16116,
50,0,0,-101.533,160.974,810.592,-4.87982,-1.28905,-3.7005,
50,0,50,-101.344,159.272,763.149,-4.3691,0.0615198,-1.23774,
50,0,100,-100.733,157.07,713.806,-3.43518,0.912331,-0.67492,
50,0,150,-100.367,155.34,665.536,-2.74646,2.23578,0.960492,
50,0,200,-100.049,153.26,617.258,-2.10633,3.20848,2.5881,
100,0,0,-48.6251,162.629,811.891,-1.97092,0.587912,-2.09193,
100,0,50,-48.201,160.788,763.389,-1.2242,1.80005,-0.688156,
100,0,100,-47.5949,158.534,714.297,-0.295572,2.59866,0.125681,
100,0,150,-47.2228,156.516,665.838,0.399111,3.6339,1.57226,
100,0,200,-46.7192,154.445,616.888,1.22522,4.61577,2.52815,
150,0,0,0.563992,164.067,810.806,-2.78036,2.24848,-2.86767,
150,0,50,1.12483,162.094,762.82,-1.89696,3.32907,-0.947359,
150,0,100,1.58407,160.089,713.904,-1.11515,4.37612,0.0415381,
150,0,150,2.05467,158.062,665.349,-0.321985,5.40213,1.39304,
150,0,200,2.54238,156.049,617.158,0.488282,6.44214,3.10705,
200,0,0,50.8506,160.685,811.683,-2.49232,-0.911103,-1.68066,
200,0,50,51.4628,158.836,763.986,-1.55756,0.293607,0.527683,
