//R->Mの座標変換
//Rのうち使った点
x,y,z
100,0,100
0,100,100
100,100,0
100,100,100
100,100,200
200,100,100
100,200,100
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-148.469,50.0353,718.926
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
-47.7556,-47.0425,724.639
//回転R
0.999906,0.0125893,0.00536391
0.0128322,-0.998767,-0.0479527
0.0047536,0.0480171,-0.998835
//並進q_T
x,y,z
-149.893,157.594,813.876
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,0,0,-153.72,157.345,812.328,-3.82766,-0.24907,-1.54816,
0,0,50,-153.166,155.337,762.717,-3.54182,0.140866,-1.21741,
0,0,100,-152.894,153.354,714.666,-3.53799,0.555086,0.673234,
0,0,150,-152.602,151.413,666.123,-3.51363,1.01233,2.07265,
0,0,200,-152.346,149.086,617.14,-3.52663,1.08259,3.03141,
50,0,0,-101.533,160.974,810.592,-1.63536,2.73877,-3.52184,
50,0,50,-101.344,159.272,763.149,-1.71541,3.43405,-1.02299,
50,0,100,-100.733,157.07,713.806,-1.37225,3.62957,-0.424077,
50,0,150,-100.367,155.34,665.536,-1.27428,4.29773,1.24743,
50,0,200,-100.049,153.26,617.258,-1.22491,4.61515,2.91113,
100,0,0,-48.6251,162.629,811.891,1.27677,3.75156,-2.4605,
100,0,50,-48.201,160.788,763.389,1.43273,4.30841,-1.02064,
100,0,100,-47.5949,158.534,714.297,1.77059,4.45174,-0.170705,
100,0,150,-47.2228,156.516,665.838,1.87452,4.83169,1.31197,
100,0,200,-46.7192,154.445,616.888,2.10987,5.15827,2.30395,
150,0,0,0.563992,164.067,810.806,0.470553,4.54796,-3.78347,
150,0,50,1.12483,162.094,762.82,0.763193,4.97326,-1.82707,
150,0,100,1.58407,160.089,713.904,0.954244,5.36502,-0.802078,
150,0,150,2.05467,158.062,665.349,1.15665,5.73574,0.585517,
150,0,200,2.54238,156.049,617.158,1.37616,6.12046,2.33562,
200,0,0,50.8506,160.685,811.683,0.761823,0.524212,-3.14369,
200,0,50,51.4628,158.836,763.986,1.10582,1.07363,-0.899256,
200,0,100,52.128,156.705,715.02,1.50284,1.33984,0.0770894,
200,0,150,52.622,154.691,666.464,1.72862,1.72335,1.46233,
200,0,200,53.0949,152.547,618,1.93337,1.97708,2.94025,
0,50,0,-150.321,108.954,813.429,-1.05838,1.29869,-2.84756,
0,50,50,-150.312,107.063,766.154,-1.31749,1.80488,-0.180775,
0,50,100,-149.785,104.939,716.887,-1.05864,2.07866,0.49335,
0,50,150,-149.38,102.73,667.76,-0.921056,2.26723,1.30835,
0,50,200,-148.938,100.427,618.882,-0.747473,2.36175,2.37187,
50,50,0,-100.737,108.74,814.328,-1.46878,0.442832,-2.187,
50,50,50,-100.349,106.606,765.438,-1.34971,0.706434,-1.13521,
50,50,100,-99.8089,104.364,716.505,-1.07759,0.862124,-0.126593,
50,50,150,-99.505,102.306,667.895,-1.04185,1.20188,1.20523,
50,50,200,-99.1621,100.03,619.156,-0.967165,1.32304,2.40837,
100,50,0,-49.8161,111.448,814.669,-0.543666,2.5095,-2.08361,
100,50,50,-49.36,109.461,765.261,-0.355785,2.91991,-1.54967,
100,50,100,-48.9077,107.438,716.836,-0.171641,3.29453,-0.0329699,
100,50,150,-48.4506,105.241,667.817,0.017256,3.49523,0.890272,
100,50,200,-48.0377,103.02,619.484,0.161925,3.67154,2.49876,
150,50,0,6.62235,107.877,813.539,5.89944,-1.70335,-3.45093,
150,50,50,7.26551,106.036,765.103,6.27441,-1.147,-1.94494,
150,50,100,7.64427,103.711,716.764,6.38497,-1.07459,-0.342805,
150,50,150,8.11906,101.461,668.12,6.59157,-0.926309,0.955192,
150,50,200,8.59384,99.6417,619.819,6.79816,-0.348233,2.59605,
200,50,0,51.3309,110.92,814.045,0.612675,0.697593,-3.18218,
200,50,50,51.6962,109.016,765.47,0.709774,1.19193,-1.81569,
200,50,100,52.3803,106.74,717.112,1.1257,1.31319,-0.232291,
200,50,150,53.1341,104.649,669.012,1.61126,1.61977,1.60975,
200,50,200,53.5004,102.571,620.292,1.70938,1.93983,2.83117,
0,100,0,-149.355,54.2311,816.821,-0.72176,-3.48623,-1.8567,
0,100,50,-148.867,52.1428,768.206,-0.501981,-3.1768,-0.529661,
0,100,100,-148.469,50.0353,718.926,-0.372038,-2.88667,0.13155,
0,100,150,-148.293,47.8079,670.751,-0.463511,-2.71646,1.89876,
0,100,200,-148.019,45.6058,621.609,-0.458083,-2.52095,2.69867,
50,100,0,-99.0698,58.5602,816.231,-0.431551,0.20128,-2.68423,
50,100,50,-98.8512,56.3871,767.951,-0.481146,0.425803,-1.02299,
50,100,100,-98.3778,53.7692,719.257,-0.275959,0.205532,0.225167,
50,100,150,-97.935,51.5879,670.094,-0.101273,0.421957,1.00419,
50,100,200,-97.6885,49.5721,621.718,-0.123014,0.803734,2.56911,
100,100,0,-49.4563,58.692,816.741,-0.813391,-0.308525,-2.41199,
100,100,50,-49.0237,56.6912,768.397,-0.64893,0.0883054,-0.814524,
100,100,100,-48.4436,54.0655,719.274,-0.337023,-0.139767,0.00405232,
100,100,150,-48.2428,51.8258,670.671,-0.404491,0.0182098,1.3432,
