//R->Mの座標変換
//Rのうち使った点
x,y,z
0,0,0
0,0,200
200,0,0
200,0,200
100,100,100
0,200,0
0,200,200
200,200,0
200,200,200
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.346,149.086,617.14
50.8506,160.685,811.683
53.0949,152.547,618
-48.4436,54.0655,719.274
-149.616,-43.9504,821.406
-148.258,-52.8556,626.081
52.1666,-41.606,821.38
54.5887,-50.6262,627.292
//回転R
0.999889,0.0137323,0.00584462
0.013981,-0.998894,-0.0448845
0.00522179,0.0449612,-0.998975
//並進q_T
x,y,z
-151.022,156.834,814.277
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,0,0,-153.72,157.345,812.328,-2.69769,0.510713,-1.94951,
0,0,50,-153.166,155.337,762.717,-2.43589,0.747238,-1.61176,
0,0,100,-152.894,153.354,714.666,-2.45609,1.00805,0.285873,
0,0,150,-152.602,151.413,666.123,-2.45576,1.31188,1.69228,
0,0,200,-152.346,149.086,617.14,-2.4928,1.22873,2.65804,
50,0,0,-101.533,160.974,810.592,-0.504505,3.44111,-3.9466,
50,0,50,-101.344,159.272,763.149,-0.608582,3.98298,-1.44075,
50,0,100,-100.733,157.07,713.806,-0.289457,4.02509,-0.834847,
50,0,150,-100.367,155.34,665.536,-0.215525,4.53985,0.843652,
50,0,200,-100.049,153.26,617.258,-0.190191,4.70385,2.51435,
100,0,0,-48.6251,162.629,811.891,2.40851,4.39647,-2.90867,
100,0,50,-48.201,160.788,763.389,2.54044,4.79991,-1.46181,
100,0,100,-47.5949,158.534,714.297,2.85427,4.78982,-0.604885,
100,0,150,-47.2228,156.516,665.838,2.93416,5.01636,0.884782,
100,0,200,-46.7192,154.445,616.888,3.14548,5.18953,1.88376,
150,0,0,0.563992,164.067,810.806,1.60319,5.13543,-4.25505,
150,0,50,1.12483,162.094,762.82,1.87179,5.40732,-2.29165,
150,0,100,1.58407,160.089,713.904,2.03881,5.64567,-1.25967,
150,0,150,2.05467,158.062,665.349,2.21718,5.86298,0.134922,
150,0,200,2.54238,156.049,617.158,2.41265,6.09429,1.89202,
200,0,0,50.8506,160.685,811.683,1.89534,1.05424,-3.63868,
200,0,50,51.4628,158.836,763.986,2.21531,1.45025,-1.38725,
200,0,100,52.128,156.705,715.02,2.58829,1.56305,-0.40391,
200,0,150,52.622,154.691,666.464,2.79003,1.79315,0.988324,
200,0,200,53.0949,152.547,618,2.97075,1.89347,2.47324,
0,50,0,-150.321,108.954,813.429,0.0144421,2.06483,-3.09611,
0,50,50,-150.312,107.063,766.154,-0.2687,2.41761,-0.422337,
0,50,100,-149.785,104.939,716.887,-0.0338887,2.53798,0.258781,
